Year,State,Bankruptcies,Population
2014,Alabama,25245,4849377
2013,Alabama,27272,4833996
2012,Alabama,28194,4817484
2011,Alabama,30379,4801695
2010,Alabama,34152,4785822
2014,Alaska,456,736732
2013,Alaska,593,737259
2012,Alaska,753,731081
2011,Alaska,999,722572
2010,Alaska,1112,713856
2014,Arizona,19897,6731484
2013,Arizona,23377,6634997
2012,Arizona,28497,6556236
2011,Arizona,36550,6472867
2010,Arizona,42818,6411999
2014,Arkansas,11231,2966369
2013,Arkansas,12242,2958765
2012,Arkansas,12915,2949300
2011,Arkansas,14601,2938430
2010,Arkansas,16500,2922297
2014,California,103362,38802500
2013,California,136426,38431393
2012,California,187255,38062780
2011,California,213861,37701901
2010,California,260073,37336011
