,State,Year,Bankruptcies,Population,LandLocked,BkrptPer100
1,Alabama,2014,25245,4849377,TRUE,0.520582334596795
2,Alabama,2013,27272,4833996,TRUE,0.564170926082686
3,Alabama,2012,28194,4817484,TRUE,0.585243251456569
4,Alabama,2011,30379,4801695,TRUE,0.632672420884708
5,Alabama,2010,34152,4785822,TRUE,0.713607819095654
6,Alaska,2014,456,736732,FALSE,0.0618949631616382
7,Alaska,2013,593,737259,FALSE,0.0804330635502585
8,Alaska,2012,753,731081,FALSE,0.102998162994251
9,Alaska,2011,999,722572,FALSE,0.138256118421417
10,Alaska,2010,1112,713856,FALSE,0.155773713466021
11,Arizona,2014,19897,6731484,TRUE,0.295581182396036
12,Arizona,2013,23377,6634997,TRUE,0.352328719967771
13,Arizona,2012,28497,6556236,TRUE,0.434654884296416
14,Arizona,2011,36550,6472867,TRUE,0.564664776829186
15,Arizona,2010,42818,6411999,TRUE,0.667779268212612
16,Arkansas,2014,11231,2966369,TRUE,0.378611022431801
17,Arkansas,2013,12242,2958765,TRUE,0.413753711430276
18,Arkansas,2012,12915,2949300,TRUE,0.437900518767165
19,Arkansas,2011,14601,2938430,TRUE,0.496898003355533
20,Arkansas,2010,16500,2922297,TRUE,0.564624334898198
21,California,2014,103362,38802500,FALSE,0.266379743573223
22,California,2013,136426,38431393,FALSE,0.354985831504989
23,California,2012,187255,38062780,FALSE,0.491963540235369
24,California,2011,213861,37701901,FALSE,0.567241954192177
25,California,2010,260073,37336011,FALSE,0.696574146606074
