Date,Open,High,Low,Close,Adj Close,Volume
9/17/1997,5.167146,5.436736,5.167146,5.234543,4.045177,29185400
9/18/1997,5.301941,5.41427,5.25701,5.41427,4.184068,6731800
9/19/1997,5.403038,5.571531,5.403038,5.436736,4.20143,3440200
9/22/1997,5.391805,5.459202,5.380571,5.391805,4.166708,5831000
9/23/1997,5.391805,5.41427,5.380571,5.391805,4.166708,2738600
9/24/1997,5.403038,5.41427,5.380571,5.391805,4.166708,2575500
9/25/1997,5.391805,5.470435,5.391805,5.470435,4.22747,1005900
9/26/1997,5.459202,5.616463,5.447969,5.60523,4.331637,1636300
9/29/1997,5.616463,5.68386,5.616463,5.68386,4.392403,1708100
9/30/1997,5.740025,5.998383,5.728792,5.818655,4.496571,4639200
10/1/1997,5.829888,5.829888,5.571531,5.571531,4.305597,3525900
10/2/1997,5.593997,5.60523,5.481668,5.549066,4.288235,1870600
10/3/1997,5.60523,5.661395,5.571531,5.627696,4.348998,2065300
10/6/1997,5.60523,5.79619,5.60523,5.751258,4.444487,7842400
10/7/1997,5.79619,5.886053,5.504134,5.593997,4.322958,21602200
10/8/1997,5.593997,5.616463,5.481668,5.515367,4.262192,16664700
10/9/1997,5.504134,5.751258,5.403038,5.740025,4.435804,12844400
10/10/1997,5.549066,5.740025,5.526599,5.672627,4.383721,10308900
10/13/1997,5.68386,5.762491,5.672627,5.762491,4.453167,10520900
10/14/1997,5.717559,5.829888,5.706326,5.728792,4.427125,17077000
10/15/1997,5.593997,5.717559,5.593997,5.706326,4.409765,9048700
10/16/1997,5.751258,5.773724,5.661395,5.706326,4.409765,9002500
10/17/1997,5.616463,5.638929,5.447969,5.60523,4.331637,6431400
10/20/1997,5.582764,5.829888,5.582764,5.79619,4.479209,7995400
10/21/1997,5.751258,6.144411,5.751258,6.032081,4.661501,9219500
10/22/1997,5.930985,5.998383,5.863587,5.930985,4.583376,5610700
10/23/1997,5.841122,5.942218,5.79619,5.930985,4.583376,7688800
10/24/1997,5.942218,5.975916,5.829888,5.930985,4.583376,5598400
10/27/1997,5.841122,5.852355,5.504134,5.593997,4.322958,6699000
10/28/1997,5.41427,5.68386,5.234543,5.560298,4.296915,4660400
10/29/1997,5.582764,5.661395,5.425503,5.447969,4.210111,3286000
10/30/1997,5.234543,5.425503,5.234543,5.301941,4.097261,4901800
10/31/1997,5.301941,5.481668,5.290708,5.447969,4.210111,5334200
11/3/1997,5.481668,5.526599,5.403038,5.481668,4.236153,5457100
11/4/1997,5.436736,5.492901,5.369339,5.41427,4.184068,5849900
11/5/1997,5.391805,5.481668,5.369339,5.425503,4.192748,6204900
11/6/1997,5.436736,5.751258,5.41427,5.68386,4.392403,6185400
11/7/1997,5.661395,5.829888,5.571531,5.751258,4.444487,6055800
11/10/1997,5.79619,6.178109,5.773724,6.077013,4.696226,5481600
11/11/1997,5.886053,6.043314,5.886053,6.020848,4.652822,4125100
11/12/1997,5.975916,6.020848,5.897286,5.897286,4.557334,4147400
11/13/1997,5.919752,6.054547,5.919752,6.020848,4.652822,6960000
11/14/1997,6.155643,6.470165,6.133178,6.33537,4.895879,11075600
11/17/1997,6.380302,6.515097,6.33537,6.346603,4.90456,5030400
11/18/1997,6.312904,6.346603,6.043314,6.077013,4.696226,5827100
11/19/1997,6.043314,6.155643,5.998383,6.110712,4.722266,6024100
11/20/1997,6.110712,6.166876,6.088246,6.133178,4.739629,6341200
11/21/1997,6.121944,6.223041,6.110712,6.200575,4.791713,3088000
11/24/1997,6.110712,6.200575,6.020848,6.020848,4.652822,3880800
11/25/1997,6.032081,6.054547,5.841122,5.886053,4.548654,3297700
11/26/1997,5.841122,5.998383,5.841122,5.964684,4.609419,2655100
11/28/1997,5.953451,6.110712,5.953451,6.077013,4.696226,1168900
12/1/1997,6.178109,6.178109,6.077013,6.110712,4.722266,3024000
12/2/1997,6.155643,6.155643,6.043314,6.121944,4.730947,4351600
12/3/1997,6.110712,6.245507,6.110712,6.234274,4.817753,2006900
12/4/1997,6.290439,6.369069,6.234274,6.25674,4.835114,4566300
12/5/1997,6.25674,6.267972,6.200575,6.223041,4.809072,3969900
12/8/1997,6.178109,6.279206,6.155643,6.200575,4.791713,2142600
12/9/1997,6.133178,6.200575,6.121944,6.144411,4.748308,1943500
12/10/1997,6.110712,6.110712,5.695094,5.79619,4.479209,8938500
12/11/1997,5.68386,5.706326,5.549066,5.593997,4.322958,6056900
12/12/1997,5.60523,5.616463,5.436736,5.459202,4.21879,4678200
12/15/1997,5.41427,5.526599,5.403038,5.425503,4.192748,9977300
12/16/1997,5.391805,5.560298,5.391805,5.526599,4.270875,10624400
12/17/1997,5.537832,5.627696,5.425503,5.459202,4.21879,6991100
12/18/1997,5.41427,5.425503,5.313174,5.369339,4.149345,2701800
12/19/1997,5.346873,5.391805,5.324407,5.358106,4.140666,2821500
12/22/1997,5.391805,5.41427,5.279475,5.358106,4.140666,2253900
12/23/1997,5.313174,5.33564,5.088515,5.099749,3.941009,4369900
12/24/1997,5.054817,5.178379,5.009885,5.167146,3.993092,2143800
12/26/1997,5.14468,5.155913,5.088515,5.088515,3.932329,1234600
12/29/1997,5.043584,5.212078,5.032351,5.099749,3.941009,2182200
12/30/1997,5.099749,5.313174,5.088515,5.268242,4.071219,2689600
12/31/1997,5.22331,5.245777,5.167146,5.22331,4.036497,4221900
1/2/1998,5.22331,5.268242,5.099749,5.234543,4.045177,2959400
1/5/1998,5.234543,5.25701,5.009885,5.077282,3.923648,6857600
1/6/1998,5.009885,5.009885,4.841391,4.863857,3.758716,8561800
1/7/1998,4.830158,4.987419,4.785226,4.852624,3.750036,6014100
1/8/1998,4.762761,4.807693,4.627965,4.661664,3.602465,5433200
1/9/1998,4.650431,4.841391,4.627965,4.672897,3.611145,9729700
1/12/1998,4.515636,4.751528,4.504403,4.695363,3.628507,5332500
1/13/1998,4.650431,4.740295,4.627965,4.695363,3.628507,4983100
1/14/1998,4.706596,4.818925,4.594267,4.695363,3.628507,3789000
1/15/1998,4.672897,4.830158,4.627965,4.807693,3.715313,8781100
1/16/1998,4.785226,4.852624,4.773993,4.841391,3.741356,3096300
1/20/1998,4.830158,4.987419,4.807693,4.987419,3.854203,3917600
1/21/1998,4.942487,4.942487,4.886323,4.920022,3.802119,2364100
1/22/1998,4.920022,4.931254,4.852624,4.87509,3.767397,2860400
1/23/1998,4.852624,4.87509,4.773993,4.807693,3.715313,3316700
1/26/1998,4.762761,4.841391,4.740295,4.785226,3.697952,2470900
1/27/1998,4.717829,4.785226,4.672897,4.773993,3.689271,4726600
1/28/1998,4.762761,4.920022,4.740295,4.920022,3.802119,5433800
1/29/1998,4.87509,5.043584,4.852624,4.931254,3.810798,4290400
1/30/1998,4.897556,4.920022,4.841391,4.908789,3.793438,8328700
2/2/1998,4.953721,5.122214,4.953721,5.009885,3.871564,5422100
2/3/1998,4.964953,4.987419,4.942487,4.964953,3.836842,4089500
2/4/1998,4.942487,5.122214,4.920022,5.099749,3.941009,5250700
2/5/1998,5.043584,5.099749,5.009885,5.032351,3.888926,3081800
2/6/1998,4.987419,5.167146,4.987419,5.155913,3.984412,2731300
2/9/1998,5.077282,5.122214,4.998652,5.077282,3.923648,2132100
2/10/1998,5.054817,5.14468,4.987419,5.110981,3.94969,1987400
2/11/1998,5.077282,5.088515,4.976186,5.06605,3.914968,2884300
2/12/1998,5.054817,5.099749,4.897556,4.942487,3.819481,6395200
2/13/1998,4.942487,5.212078,4.852624,4.897556,3.784758,8251900
2/17/1998,4.672897,4.796459,4.672897,4.796459,3.706632,6316800
2/18/1998,4.740295,4.762761,4.672897,4.695363,3.628507,7292100
2/19/1998,4.695363,4.964953,4.68413,4.863857,3.758716,6105300
2/20/1998,4.908789,4.908789,4.773993,4.807693,3.715313,2455300
2/23/1998,4.87509,4.87509,4.762761,4.785226,3.697952,3196500
2/24/1998,4.762761,4.931254,4.762761,4.87509,3.767397,2959400
2/25/1998,4.852624,4.897556,4.818925,4.852624,3.750036,2206100
2/26/1998,4.852624,5.077282,4.841391,5.021118,3.880244,4065000
2/27/1998,5.032351,5.122214,5.021118,5.122214,3.958371,2844300
3/2/1998,5.099749,5.301941,5.088515,5.290708,4.088579,4300900
3/3/1998,5.200845,5.324407,5.167146,5.301941,4.097261,2805900
3/4/1998,5.25701,5.391805,5.245777,5.391805,4.166708,2506500
3/5/1998,5.301941,5.391805,5.234543,5.391805,4.166708,3213700
3/6/1998,5.369339,5.380571,5.212078,5.301941,4.097261,3149200
3/9/1998,5.279475,5.301941,5.099749,5.167146,3.993092,2309600
3/10/1998,5.14468,5.25701,5.133447,5.245777,4.053856,2395800
3/11/1998,5.290708,5.346873,5.234543,5.33564,4.123303,3306100
3/12/1998,5.346873,5.447969,5.33564,5.346873,4.131985,4915700
3/13/1998,5.369339,5.41427,5.33564,5.33564,4.123303,3125200
3/16/1998,5.346873,5.403038,5.313174,5.358106,4.140666,3234300
3/17/1998,5.33564,5.391805,5.324407,5.369339,4.149345,3366700
3/18/1998,5.324407,5.358106,5.234543,5.245777,4.053856,2618900
3/19/1998,5.234543,5.346873,5.212078,5.313174,4.105942,7757300
3/20/1998,5.346873,5.571531,5.313174,5.504134,4.253513,2872600
3/23/1998,5.41427,5.436736,5.358106,5.369339,4.149345,2314000
3/24/1998,5.369339,5.526599,5.346873,5.504134,4.253513,2778100
3/25/1998,5.481668,5.661395,5.470435,5.492901,4.244831,4422200
3/26/1998,5.526599,5.526599,5.403038,5.403038,4.175387,2099200
3/27/1998,5.436736,5.481668,5.324407,5.403038,4.175387,2399700
3/30/1998,5.391805,5.403038,5.301941,5.313174,4.105942,3722300
3/31/1998,5.313174,5.436736,5.313174,5.403038,4.175387,2599500
4/1/1998,5.403038,5.661395,5.403038,5.661395,4.375041,2370200
4/2/1998,5.616463,5.784957,5.571531,5.650162,4.36636,4214700
4/3/1998,5.650162,5.79619,5.616463,5.79619,4.479209,2722400
4/6/1998,5.784957,5.784957,5.616463,5.650162,4.36636,2256200
4/7/1998,5.593997,5.616463,5.41427,5.459202,4.21879,2091500
4/8/1998,5.425503,5.549066,5.369339,5.403038,4.175387,1757100
4/9/1998,5.41427,5.571531,5.391805,5.526599,4.270875,1473300
4/13/1998,5.492901,5.515367,5.436736,5.504134,4.253513,1655800
4/14/1998,5.526599,5.526599,5.470435,5.504134,4.253513,2405300
4/15/1998,5.481668,5.751258,5.481668,5.695094,4.401083,2004100
4/16/1998,5.695094,5.706326,5.549066,5.638929,4.357678,1918400
4/17/1998,5.661395,5.68386,5.549066,5.650162,4.36636,1353700
4/20/1998,5.616463,5.695094,5.571531,5.68386,4.392403,1446600
4/21/1998,5.638929,5.661395,5.582764,5.650162,4.36636,1456600
4/22/1998,5.616463,5.930985,5.616463,5.897286,4.557334,2298400
4/23/1998,5.87482,5.930985,5.841122,5.886053,4.548654,3185900
4/24/1998,5.852355,5.908519,5.773724,5.818655,4.496571,2429200
4/27/1998,5.68386,5.68386,5.481668,5.60523,4.331637,4104500
4/28/1998,5.627696,5.661395,5.526599,5.571531,4.305597,3814600
4/29/1998,5.616463,5.68386,5.593997,5.638929,4.357678,2583900
4/30/1998,5.68386,5.762491,5.638929,5.706326,4.409765,2323500
5/1/1998,5.706326,5.706326,5.593997,5.638929,4.357678,1453300
5/4/1998,5.627696,5.672627,5.549066,5.571531,4.305597,1508900
5/5/1998,5.526599,5.616463,5.481668,5.593997,4.322958,2415300
5/6/1998,5.560298,5.650162,5.515367,5.549066,4.288235,3022900
5/7/1998,5.537832,5.537832,5.41427,5.41427,4.184068,1500000
5/8/1998,5.41427,5.481668,5.41427,5.436736,4.20143,1850000
5/11/1998,5.425503,5.492901,5.425503,5.447969,4.210111,1936200
5/12/1998,5.459202,5.549066,5.447969,5.549066,4.288235,1139500
5/13/1998,5.526599,5.627696,5.504134,5.571531,4.305597,1136700
5/14/1998,5.549066,5.638929,5.549066,5.616463,4.340318,1480000
5/15/1998,5.616463,5.706326,5.582764,5.672627,4.383721,2328500
5/18/1998,5.661395,5.728792,5.661395,5.717559,4.418444,2768600
5/19/1998,5.68386,5.79619,5.68386,5.762491,4.453167,2048600
5/20/1998,5.751258,5.784957,5.672627,5.68386,4.392403,4564100
5/21/1998,5.68386,5.706326,5.571531,5.60523,4.331637,1527300
5/22/1998,5.571531,5.661395,5.526599,5.582764,4.314277,1523900
5/26/1998,5.616463,5.616463,5.549066,5.549066,4.288235,1811600
5/27/1998,5.492901,5.526599,5.369339,5.425503,4.192748,1680800
5/28/1998,5.425503,5.560298,5.425503,5.560298,4.296915,3074600
5/29/1998,5.549066,5.650162,5.549066,5.582764,4.314277,1669700
6/1/1998,5.582764,5.807423,5.571531,5.784957,4.470528,2243400
6/2/1998,5.784957,5.942218,5.661395,5.886053,4.548654,2516000
6/3/1998,5.886053,5.897286,5.79619,5.818655,4.496571,1722600
6/4/1998,5.79619,5.863587,5.740025,5.79619,4.479209,3555300
6/5/1998,5.784957,5.87482,5.784957,5.829888,4.50525,955300
6/8/1998,5.829888,5.87482,5.818655,5.863587,4.531292,1747600
6/9/1998,5.818655,5.953451,5.79619,5.953451,4.600739,2554900
6/10/1998,5.908519,5.98715,5.784957,5.79619,4.479209,2174400
6/11/1998,5.829888,5.829888,5.571531,5.571531,4.305597,2917200
6/12/1998,5.571531,5.627696,5.481668,5.560298,4.296915,1684700
6/15/1998,5.526599,5.560298,5.369339,5.391805,4.166708,1996300
6/16/1998,5.403038,5.436736,5.313174,5.380571,4.158025,2587200
6/17/1998,5.403038,5.60523,5.391805,5.593997,4.322958,3808000
6/18/1998,5.593997,5.638929,5.571531,5.593997,4.322958,1754300
6/19/1998,5.616463,5.650162,5.593997,5.60523,4.331637,2050300
6/22/1998,5.60523,5.751258,5.582764,5.661395,4.375041,3045700
6/23/1998,5.706326,5.807423,5.672627,5.717559,4.418444,2877100
6/24/1998,5.717559,6.110712,5.706326,6.020848,4.652822,3163600
6/25/1998,6.009615,6.088246,5.930985,6.054547,4.678864,3061300
6/26/1998,6.054547,6.054547,5.841122,5.841122,4.513931,677100
6/29/1998,5.841122,5.998383,5.841122,5.998383,4.635461,1963500
6/30/1998,5.953451,5.975916,5.616463,5.695094,4.401083,2584400
7/1/1998,5.740025,5.87482,5.717559,5.863587,4.531292,3996600
7/2/1998,5.87482,5.908519,5.79619,5.829888,4.50525,2640100
7/6/1998,5.818655,6.032081,5.717559,6.032081,4.661501,1831600
7/7/1998,5.953451,6.133178,5.852355,5.87482,4.539972,5698000
7/8/1998,5.87482,5.953451,5.762491,5.953451,4.600739,2053600
7/9/1998,5.930985,6.020848,5.886053,5.908519,4.566015,2034100
7/10/1998,5.942218,5.953451,5.852355,5.942218,4.592059,1691400
7/13/1998,5.908519,6.020848,5.886053,5.930985,4.583376,1579600
7/14/1998,5.908519,6.043314,5.908519,6.020848,4.652822,3708400
7/15/1998,6.009615,6.133178,6.009615,6.099479,4.713586,4322600
7/16/1998,6.06578,6.33537,6.054547,6.33537,4.895879,5022000
7/17/1998,6.290439,6.357836,6.279206,6.357836,4.913239,2823100
7/20/1998,6.312904,6.481398,6.267972,6.4477,4.982684,1763700
7/21/1998,6.33537,6.458932,6.312904,6.324137,4.887197,1590700
7/22/1998,6.279206,6.33537,6.155643,6.33537,4.895879,1990200
7/23/1998,6.290439,6.357836,6.267972,6.267972,4.843796,2571600
7/24/1998,6.25674,6.402768,6.245507,6.290439,4.861156,2717400
7/27/1998,6.301672,6.627426,6.223041,6.593728,5.095534,4641400
7/28/1998,6.627426,6.627426,6.290439,6.481398,5.008726,5403200
7/29/1998,6.481398,6.548796,6.391535,6.4477,4.982684,2191600
7/30/1998,6.492631,6.60496,6.481398,6.560029,5.069493,1922900
7/31/1998,6.560029,6.560029,6.290439,6.357836,4.913239,1341400
8/3/1998,6.312904,6.425234,6.200575,6.380302,4.930603,2472600
8/4/1998,6.380302,6.414001,6.110712,6.200575,4.791713,2019700
8/5/1998,6.110712,6.200575,5.942218,6.178109,4.774351,1651300
8/6/1998,6.110712,6.178109,6.054547,6.088246,4.704906,973700
8/7/1998,6.043314,6.133178,6.032081,6.077013,4.696226,948600
8/10/1998,6.110712,6.25674,6.020848,6.200575,4.791713,1389800
8/11/1998,6.110712,6.133178,5.930985,6.099479,4.713586,1168900
8/12/1998,6.06578,6.357836,5.975916,6.33537,4.895879,1565700
8/13/1998,6.290439,6.324137,6.121944,6.121944,4.730947,1518400
8/14/1998,6.121944,6.211808,6.110712,6.166876,4.765669,1860000
8/17/1998,6.110712,6.110712,5.391805,5.717559,4.418444,5123800
8/18/1998,5.695094,5.841122,5.672627,5.841122,4.513931,2165500
8/19/1998,5.930985,6.79592,5.919752,6.649892,5.138937,11257000
8/20/1998,6.649892,7.121675,6.593728,7.121675,5.503523,9223900
8/21/1998,6.829619,6.874551,6.762221,6.807153,5.260466,7011700
8/24/1998,6.840852,7.144141,6.840852,7.076743,5.468799,3742900
8/25/1998,7.278936,7.323868,7.234004,7.323868,5.659775,5150500
8/26/1998,7.099209,7.200305,6.975647,7.200305,5.564288,4051700
8/27/1998,7.054277,7.144141,6.852085,7.009346,5.416717,5066500
8/28/1998,6.874551,6.98688,6.79592,6.885784,5.321231,2245600
8/31/1998,6.874551,6.897017,6.571262,6.661125,5.147618,4133400
9/1/1998,6.649892,7.166607,6.593728,7.110442,5.494842,5655200
9/2/1998,7.099209,7.144141,6.964414,7.020579,5.425399,6825900
9/3/1998,6.919482,6.919482,6.784687,6.852085,5.295187,3346100
9/4/1998,6.829619,6.852085,6.560029,6.706057,5.182341,2842000
9/8/1998,7.054277,7.06551,6.964414,7.06551,5.46012,3324400
9/9/1998,7.087976,7.099209,6.98688,6.98688,5.399354,3597100
9/10/1998,6.840852,6.852085,6.380302,6.683591,5.164979,2013600
9/11/1998,6.60496,6.852085,6.571262,6.829619,5.277826,1658000
9/14/1998,6.852085,7.020579,6.840852,6.953181,5.373314,2290100
9/15/1998,6.98688,7.009346,6.762221,6.784687,5.243104,1455500
9/16/1998,6.762221,6.998113,6.750988,6.998113,5.408036,3767900
9/17/1998,6.953181,7.009346,6.874551,6.941948,5.364635,2035300
9/18/1998,7.009346,7.06551,6.941948,7.054277,5.45144,2023600
9/21/1998,6.829619,7.099209,6.807153,7.054277,5.45144,1472700
9/22/1998,7.099209,7.121675,6.941948,6.953181,5.373314,2319000
9/23/1998,6.919482,7.189073,6.897017,7.155374,5.529564,4693200
9/24/1998,7.166607,7.17784,6.728523,6.773454,5.234424,4024400
9/25/1998,6.582495,6.728523,6.515097,6.627426,5.121577,2038600
9/28/1998,6.649892,6.750988,6.582495,6.638659,5.130255,2469300
9/29/1998,6.683591,6.885784,6.683591,6.885784,5.321231,1327000
9/30/1998,6.852085,7.031812,6.829619,7.031812,5.434078,3121400
10/1/1998,7.17784,7.17784,6.829619,6.964414,5.381995,4974700
10/2/1998,7.009346,7.031812,6.829619,6.908249,5.338592,2005800
10/5/1998,6.852085,6.919482,6.582495,6.694824,5.173659,1273500
10/6/1998,6.784687,6.919482,6.672358,6.683591,5.164979,2000800
10/7/1998,6.627426,6.649892,6.290439,6.290439,4.861156,2429200
10/8/1998,6.110712,6.133178,5.661395,5.975916,4.618099,7865800
10/9/1998,5.975916,6.571262,5.964684,6.571262,5.078173,2990000
10/12/1998,6.71729,6.784687,6.548796,6.560029,5.069493,6756300
10/13/1998,6.571262,6.571262,6.436467,6.509471,5.030423,19518500
10/14/1998,6.492631,7.009346,6.492631,6.941948,5.364635,6147100
10/15/1998,7.054277,7.189073,7.031812,7.06551,5.46012,10651100
10/16/1998,7.25647,7.267703,7.121675,7.200305,5.564288,7730000
10/19/1998,7.17784,7.63839,7.17784,7.627157,5.894154,4683700
10/20/1998,7.90798,8.087707,7.874281,8.020309,6.197974,5158300
10/21/1998,8.110172,8.110172,7.840582,7.930446,6.12853,3156400
10/22/1998,7.79565,7.863048,7.722628,7.863048,6.076447,2477000
10/23/1998,7.818117,7.997843,7.806883,7.997843,6.180614,2982300
10/26/1998,8.042775,8.042775,7.863048,7.885514,6.093808,2628900
10/27/1998,7.90798,8.009076,7.863048,7.90798,6.111168,3821300
10/28/1998,7.818117,7.885514,7.79565,7.818117,6.041724,1597900
10/29/1998,7.728253,7.79565,7.683321,7.739486,5.980957,1860000
10/30/1998,7.705787,7.818117,7.694554,7.818117,6.041724,3650500
11/2/1998,7.79565,7.98661,7.784418,7.930446,6.12853,5675800
11/3/1998,7.885514,7.896747,7.818117,7.896747,6.102489,3567600
11/4/1998,7.90798,7.997843,7.896747,7.952911,6.145891,4726000
11/5/1998,7.863048,7.896747,7.694554,7.851815,6.067765,2591100
11/6/1998,7.863048,7.885514,7.784418,7.840582,6.059085,2153200
11/9/1998,7.874281,7.90798,7.71702,7.90798,6.111168,2530500
11/10/1998,7.90798,8.188803,7.885514,8.17757,6.319504,4432200
11/11/1998,8.087707,8.110172,7.919213,8.087707,6.250058,3439600
11/12/1998,8.065241,8.132638,7.964145,8.121406,6.276101,3168100
11/13/1998,8.110172,8.458393,8.087707,8.435927,6.519159,2743000
11/16/1998,8.447161,8.537024,8.312366,8.480859,6.553881,2800300
11/17/1998,8.447161,8.447161,8.211268,8.278666,6.39763,2010200
11/18/1998,8.267433,8.267433,8.143871,8.211268,6.345544,1158400
11/19/1998,8.256201,8.256201,8.132638,8.222502,6.354227,2711800
11/20/1998,8.334831,8.379763,8.267433,8.267433,6.388946,2924900
11/23/1998,8.267433,8.492092,8.267433,8.492092,6.56256,3973200
11/24/1998,8.402228,8.435927,8.2899,8.312366,6.423669,2309000
11/25/1998,8.2899,8.334831,8.267433,8.301132,6.414992,627000
11/27/1998,8.211268,8.222502,8.143871,8.166337,6.310825,420600
11/30/1998,8.143871,8.2899,8.054008,8.222502,6.354227,1881100
12/1/1998,8.132638,8.278666,8.132638,8.256201,6.380268,2637800
12/2/1998,8.244967,8.256201,8.121406,8.155105,6.302144,1936200
12/3/1998,8.132638,8.390996,8.132638,8.346064,6.449715,2267300
12/4/1998,8.447161,8.862779,8.447161,8.862779,6.849023,2726900
12/7/1998,8.840313,8.896478,8.71675,8.874011,6.857701,5042600
12/8/1998,8.851545,8.874011,8.71675,8.806614,6.805617,2107600
12/9/1998,8.772915,8.930176,8.71675,8.896478,6.875064,4653100
12/10/1998,8.941409,8.963875,8.649353,8.671819,6.701452,3351100
12/11/1998,8.626887,8.683052,8.559489,8.683052,6.710134,1566200
12/14/1998,8.63812,8.63812,8.267433,8.334831,6.441032,1421600
12/15/1998,8.2899,8.402228,8.2899,8.402228,6.493116,1660800
12/16/1998,8.36853,8.593188,8.36853,8.503325,6.571242,2044700
12/17/1998,8.447161,8.649353,8.435927,8.649353,6.684088,1875600
12/18/1998,8.615654,8.840313,8.593188,8.840313,6.831663,3071300
12/21/1998,8.840313,8.840313,8.537024,8.626887,6.666729,3217600
12/22/1998,8.626887,8.82908,8.548257,8.817847,6.814301,1956800
12/23/1998,8.795381,8.840313,8.581955,8.683052,6.710134,1193400
12/24/1998,8.581955,8.604422,8.537024,8.559489,6.614645,651500
12/28/1998,8.559489,8.649353,8.537024,8.570723,6.623327,3074600
12/29/1998,8.570723,8.795381,8.548257,8.795381,6.796938,1453800
12/30/1998,8.795381,9.09867,8.761683,9.09867,7.031316,2246700
12/31/1998,9.09867,9.143601,8.840313,9.008806,6.96187,2798100
1/4/1999,8.82908,8.930176,8.514558,8.649353,6.684088,3449100
1/5/1999,8.71675,8.851545,8.71675,8.817847,6.814301,2549900
1/6/1999,8.806614,8.986341,8.795381,8.952642,6.918468,2723000
1/7/1999,8.885244,8.930176,8.817847,8.90771,6.883745,1275800
1/8/1999,8.817847,8.930176,8.727983,8.930176,6.901103,1097700
1/11/1999,8.90771,9.166067,8.90771,9.166067,7.083399,3936500
1/12/1999,9.076204,9.109903,8.885244,8.963875,6.927148,2175500
1/13/1999,8.739217,9.053739,8.705518,9.053739,6.996592,3274400
1/14/1999,8.918943,8.958249,8.626887,8.626887,6.666729,2928800
1/15/1999,8.671819,8.761683,8.581955,8.761683,6.770898,2346300
1/19/1999,8.761683,8.806614,8.683052,8.71675,6.736172,3631600
1/20/1999,8.739217,8.795381,8.537024,8.581955,6.632007,3321700
1/21/1999,8.559489,8.559489,8.323598,8.379763,6.475753,6986700
1/22/1999,8.267433,8.323598,8.188803,8.267433,6.388946,3637100
1/25/1999,8.222502,8.312366,8.087707,8.312366,6.423669,1972400
1/26/1999,8.267433,8.626887,8.267433,8.626887,6.666729,4823900
1/27/1999,8.683052,8.761683,8.63812,8.705518,6.727493,2529300
1/28/1999,8.660586,8.82908,8.604422,8.795381,6.796938,1814900
1/29/1999,8.750449,8.761683,8.548257,8.548257,6.605965,1521700
2/1/1999,8.447161,8.458393,8.312366,8.312366,6.423669,1533400
2/2/1999,8.312366,8.604422,8.312366,8.435927,6.519159,2009700
2/3/1999,8.413462,8.874011,8.402228,8.874011,6.857701,4376000
2/4/1999,8.874011,8.90771,8.705518,8.739217,6.753534,4647600
2/5/1999,8.705518,8.806614,8.63812,8.806614,6.805617,3045700
2/8/1999,8.784148,9.121136,8.761683,9.121136,7.048678,1372600
2/9/1999,9.188534,9.255931,9.143601,9.199766,7.109441,4208600
2/10/1999,9.233465,9.795112,9.222232,9.660316,7.465348,6993300
2/11/1999,10.55895,10.603882,10.311826,10.55895,8.159801,12040400
2/12/1999,10.244429,10.323059,10.087168,10.244429,7.916743,4038300
2/16/1999,10.424155,10.570184,10.40169,10.55895,8.159801,3742300
2/17/1999,10.536485,10.761143,10.491553,10.603882,8.194523,4822800
2/18/1999,10.55895,10.581416,10.278128,10.36799,8.012227,3205900
2/19/1999,10.379224,10.626348,10.379224,10.457854,8.081674,7136300
2/22/1999,10.603882,10.783609,10.581416,10.783609,8.333415,9132700
2/23/1999,10.783609,10.873472,10.738677,10.794842,8.34209,2405300
2/24/1999,10.806075,11.40142,10.794842,11.345255,8.767443,4989200
2/25/1999,11.322789,11.322789,11.041966,11.120597,8.59383,4804500
2/26/1999,11.075665,11.232926,11.053199,11.165528,8.628553,3216500
