Rep1,Rep2
BF1,BF2
BF1,BG
BF1,BL
BF1,CC
BF1,CH
BF1,CM
BF1,DJ
BF1,EC
BF1,JB
BF1,JC1
BF1,JC2
BF1,JK
BF1,JR
BF1,KB
BF1,KG
BF1,LB
BF1,MC
BF1,MM1
BF1,MM2
BF1,PK
BF1,PO
BF1,PS
BF1,RB
BF1,RN
BF1,RW
BF1,SP1
BF1,SP2
BF1,TP
BF1,WH
BF2,BF1
BF2,BG
BF2,BL
BF2,CC
BF2,CH
BF2,CM
BF2,DJ
BF2,EC
BF2,JB
BF2,JC1
BF2,JC2
BF2,JK
BF2,JR
BF2,KB
BF2,KG
BF2,LB
BF2,MC
BF2,MM1
BF2,MM2
BF2,PK
BF2,PO
BF2,PS
BF2,RB
BF2,RN
BF2,RW
BF2,SP1
BF2,SP2
BF2,TP
BF2,WH
BG,BF1
BG,BF2
BG,BL
BG,CC
BG,CH
BG,CM
BG,DJ
BG,EC
BG,JB
BG,JC1
BG,JC2
BG,JK
BG,JR
BG,KB
BG,KG
BG,LB
BG,MC
BG,MM1
BG,MM2
BG,PK
BG,PO
BG,PS
BG,RB
BG,RN
BG,RW
BG,SP1
BG,SP2
BG,TP
BG,WH
BL,BF1
BL,BF2
BL,BG
BL,CC
BL,CH
BL,CM
BL,DJ
BL,EC
BL,JB
BL,JC1
BL,JC2
BL,JK
BL,JR
BL,KB
BL,KG
BL,LB
BL,MC
BL,MM1
BL,MM2
BL,PK
BL,PO
BL,PS
BL,RB
BL,RN
BL,RW
BL,SP1
BL,SP2
BL,TP
BL,WH
CC,BF1
CC,BF2
CC,BG
CC,BL
CC,CH
CC,CM
CC,DJ
CC,EC
CC,JB
CC,JC1
CC,JC2
CC,JK
CC,JR
CC,KB
CC,KG
CC,LB
CC,MC
CC,MM1
CC,MM2
CC,PK
CC,PO
CC,PS
CC,RB
CC,RN
CC,RW
CC,SP1
CC,SP2
CC,TP
CC,WH
CH,BF1
CH,BF2
CH,BG
CH,BL
CH,CC
CH,CM
CH,DJ
CH,EC
CH,JB
CH,JC1
CH,JC2
CH,JK
CH,JR
CH,KB
CH,KG
CH,LB
CH,MC
CH,MM1
CH,MM2
CH,PK
CH,PO
CH,PS
CH,RB
CH,RN
CH,RW
CH,SP1
CH,SP2
CH,TP
CH,WH
CM,BF1
CM,BF2
CM,BG
CM,BL
CM,CC
CM,CH
CM,DJ
CM,EC
CM,JB
CM,JC1
CM,JC2
CM,JK
CM,JR
CM,KB
CM,KG
CM,LB
CM,MC
CM,MM1
CM,MM2
CM,PK
CM,PO
CM,PS
CM,RB
CM,RN
CM,RW
CM,SP1
CM,SP2
CM,TP
CM,WH
DE,EJ
DE,LS
DE,MB
DJ,BF1
DJ,BF2
DJ,BG
DJ,BL
DJ,CC
DJ,CH
DJ,CM
DJ,EC
DJ,JB
DJ,JC1
DJ,JC2
DJ,JK
DJ,JR
DJ,KB
DJ,KG
DJ,LB
DJ,MC
DJ,MM1
DJ,MM2
DJ,PK
DJ,PO
DJ,PS
DJ,RB
DJ,RN
DJ,RW
DJ,SP1
DJ,SP2
DJ,TP
DJ,WH
EC,BF1
EC,BF2
EC,BG
EC,BL
EC,CC
EC,CH
EC,CM
EC,DJ
EC,JB
EC,JC1
EC,JC2
EC,JK
EC,JR
EC,KB
EC,KG
EC,LB
EC,MC
EC,MM1
EC,MM2
EC,PK
EC,PO
EC,PS
EC,RB
EC,RN
EC,RW
EC,SP1
EC,SP2
EC,TP
EC,WH
EJ,MB
JB,BF1
JB,BF2
JB,BG
JB,BL
JB,CC
JB,CH
JB,CM
JB,DJ
JB,EC
JB,JC1
JB,JC2
JB,JK
JB,JR
JB,KB
JB,KG
JB,LB
JB,MC
JB,MM1
JB,MM2
JB,PK
JB,PO
JB,PS
JB,RB
JB,RN
JB,RW
JB,SP1
JB,SP2
JB,TP
JB,WH
JC1,BF1
JC1,BF2
JC1,BG
JC1,BL
JC1,CC
JC1,CH
JC1,CM
JC1,DJ
JC1,EC
JC1,JB
JC1,JC2
JC1,JK
JC1,JR
JC1,KB
JC1,KG
JC1,LB
JC1,MC
JC1,MM1
JC1,MM2
JC1,PK
JC1,PO
JC1,PS
